QKEY,INTERVIEW_START_W110,INTERVIEW_END_W110,DEVICE_TYPE_W110,LANG_W110,FORM_W110,XCITIZEN_W110,POL1JB_W110,POL1JBSTR_W110,INSTFAV_a_W110,INSTFAV_b_W110,JBCONF_ECON_W110,JBCONF_CRIS_W110,JBCONF_IMMI_W110,JBCONF_CLSR_W110,JBCONF_CN_W110,JBCONF_CONG_W110,JBCONF_CRIM_W110,JBCONF_PUBH_W110,JBECON_W110,JBADMIN2_NRCH_W110,JBADMIN2_OPEN_W110,JBADMIN2_EFFI_W110,JBADMIN2_STND_W110,JBADMIN2_MORL_W110,DIFFPARTY_W110,PTYISSUE_ECON_W110,PTYISSUE_ABPOL_W110,PTYISSUE_IMM_W110,PTYISSUE_COV_W110,PTYISSUE_CLIM_W110,PTYISSUE_LGT_W110,PTYISSUE_GUNS_W110,PTYISSUE_HC_W110,PTYISSUE_RACE_W110,PTYISSUE_CRIME_W110,REPPTYTRAIT_EXTR_W110,REPPTYTRAIT_EXCHT_W110,REPPTYTRAIT_HON_W110,REPPTYTRAIT_TOL_W110,REPPTYTRAIT_TRADS_W110,REPPTYTRAIT_INTF_W110,DEMPTYTRAIT_EXTR_W110,DEMPTYTRAIT_EXCHT_W110,DEMPTYTRAIT_HON_W110,DEMPTYTRAIT_TOL_W110,DEMPTYTRAIT_TRADS_W110,DEMPTYTRAIT_INTF_W110,TRAITREPa_W110,TRAITREPb_W110,TRAITREPc_W110,TRAITREPe_W110,TRAITREPf_W110,TRAITDEMa_W110,TRAITDEMb_W110,TRAITDEMc_W110,TRAITDEMe_W110,TRAITDEMf_W110,SENGUN22A_W110,SENGUN22B_W110,SENGUN22C_W110,SENGUN22D_W110,ABRTLGL_W110,ECON1_W110,ECON1B_W110,PERSFNC_W110,PERSFNCB_W110,ECONCONC_INFL_W110,ECONCONC_UNEM_W110,ECONCONC_LAB_W110,ECONCONC_ENG_W110,ECONCONC_SHTG_W110,ECONCONC_REAL_W110,ECONCONC_STCK_W110,INFROLE_GOVSP_W110,INFROLE_COVID_W110,INFROLE_PROF_W110,INFROLE_UKR_W110,INFROLE_INTRT_W110,PARTY_GOOD_W110,VIEWSCHAR_W110,FAVPOL_BIDEN_W110,FAVPOL_TRUMP_W110,FAVPOL_HARRIS_W110,FAVPOL_SCHUMER_W110,FAVPOL_MCCONNELL_W110,FAVPOL_PELOSI_W110,FAVPOL_MCCARTHY_W110,FAVPOL_PENCE_W110,RGHTCNTRL_W110,MOREGUNIMPACT_W110,MASSSTRICT_W110,ELCTCOLLB_W110,CANMTCHPOL_W110,LEADERCHAR_WIN_W110,LEADERCHAR_DSA_W110,LEADERCHAR_MIL_W110,LEADERCHAR_GVEXP_W110,PRTY_CHSE_W110,REPLEAD_EVIL_W110,REPLEAD_COOP_W110,REPLEAD_DMGD_W110,DEMLEAD_EVIL_W110,DEMLEAD_COOP_W110,DEMLEAD_RPGD_W110,HRD_ABRTN_W110,ABRTN_SCOTUS_W110,PARTY_W110,PARTYLN_W110,PARTYSTR_W110,IDENTITYREP_a_W110,IDENTITYREP_b_W110,IDENTITYREP_c_W110,IDENTITYREP_f_W110,IDENTITYREP_g_W110,IDENTITYDEM_a_W110,IDENTITYDEM_b_W110,IDENTITYDEM_c_W110,IDENTITYDEM_f_W110,IDENTITYDEM_g_W110,IDENTITYLN1R_a_W110,IDENTITYLN1R_b_W110,IDENTITYLN1R_c_W110,IDENTITYLN1R_g_W110,IDENTITYLN2R_a_W110,IDENTITYLN2R_b_W110,IDENTITYLN2R_c_W110,IDENTITYLN2R_e_W110,IDENTITYLN1D_a_W110,IDENTITYLN1D_b_W110,IDENTITYLN1D_c_W110,IDENTITYLN1D_g_W110,IDENTITYLN2D_a_W110,IDENTITYLN2D_b_W110,IDENTITYLN2D_c_W110,IDENTITYLN2D_e_W110,DVOTER_W110,RVOTER_W110,E3MOD_W110,YRSJOB_W110,YRSJOBSLF_W110,LOOKLKLY_W110,JOBSEC_W110,FINDJOB_W110,ABRTN_STATE_W110,F_METRO,F_CREGION,F_CDIVISION,F_AGECAT,F_GENDER,F_EDUCCAT,F_EDUCCAT2,F_HISP,F_HISP_ORIGIN,F_YEARSINUS,F_RACECMB,F_RACETHNMOD,F_CITIZEN,F_BIRTHPLACE,F_MARITAL,F_RELIG,F_BORN,F_RELIGCAT1,F_ATTEND,F_PARTY_FINAL,F_PARTYLN_FINAL,F_PARTYSUM_FINAL,F_PARTYSUMIDEO_FINAL,F_INC_SDT1,F_REG,F_IDEO,F_INTFREQ,F_VOLSUM,F_INC_TIER2,WEIGHT_W110
100314,2022-07-01T10:05:16Z,2022-07-01T10:22:51Z,2,1,2,1,2,1,2,4,4,4,NA,NA,NA,4,4,4,2,1,4,4,4,4,1,1,1,NA,NA,NA,NA,2,1,1,1,NA,4,1,4,1,4,NA,1,4,1,4,1,1,1,1,1,1,5,4,5,5,5,2,5,3,1,4,4,2,2,3,1,2,3,1,2,4,1,3,2,1,4,3,NA,2,4,2,NA,NA,NA,4,3,2,1,NA,3,2,1,3,3,3,3,4,NA,NA,NA,1,1,4,2,1,1,NA,2,1,1,3,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,6,NA,NA,NA,NA,NA,3,2,2,3,4,1,2,3,2,NA,1,1,1,1,1,3,1,2,1,5,1,NA,1,2,3,1,4,2,1,2,0.5093601539409691
100803,2022-06-28T19:22:29Z,2022-06-28T19:34:26Z,1,1,2,1,2,1,2,3,4,4,NA,NA,NA,3,3,3,2,3,3,4,4,3,1,1,1,NA,NA,NA,NA,2,2,2,2,NA,3,2,2,2,3,NA,1,2,2,3,1,99,3,2,3,2,4,4,3,3,4,2,2,2,1,3,3,2,2,3,2,2,2,1,3,2,3,1,2,2,2,2,NA,1,3,3,NA,NA,NA,4,2,1,2,NA,1,2,2,3,1,5,1,5,NA,NA,NA,2,1,5,2,1,1,NA,2,1,1,1,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,6,NA,NA,NA,NA,NA,3,2,2,4,4,2,1,5,2,NA,1,1,1,1,1,1,1,1,1,2,1,NA,1,1,9,1,2,4,1,3,0.3994935259150561
101485,2022-07-02T19:19:21Z,2022-07-02T19:29:38Z,2,1,2,1,2,1,2,4,4,4,NA,NA,NA,4,4,4,2,1,4,4,4,4,1,1,1,NA,NA,NA,NA,1,1,1,1,NA,4,1,4,1,4,NA,1,4,4,4,1,1,1,1,1,1,5,5,5,5,5,3,2,3,1,3,4,2,3,2,1,1,1,1,1,1,3,1,2,1,3,3,NA,2,4,2,NA,NA,NA,4,2,2,1,NA,3,1,2,5,3,1,1,3,NA,NA,NA,1,1,5,2,1,1,NA,1,1,1,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,6,NA,NA,NA,NA,NA,4,1,4,8,3,2,2,3,2,NA,1,3,5,1,1,5,1,2,1,5,1,NA,1,1,9,1,2,1,1,3,0.1525595448491541
101493,2022-06-28T18:01:22Z,2022-06-28T18:26:34Z,2,1,2,1,2,1,3,4,4,4,NA,NA,NA,4,4,4,2,1,4,4,4,4,3,2,1,NA,NA,NA,NA,1,1,1,1,NA,4,2,3,1,4,NA,3,1,2,1,4,1,1,2,3,1,4,3,5,4,4,1,4,3,2,3,4,2,4,2,1,1,1,1,1,1,2,1,2,1,4,2,NA,1,4,1,NA,NA,NA,4,4,2,1,NA,3,2,1,5,1,4,3,4,NA,NA,NA,1,1,4,3,1,1,NA,2,1,3,3,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,6,NA,NA,NA,NA,NA,4,1,4,9,3,1,2,3,1,1,1,1,3,1,1,1,12,NA,3,6,1,NA,1,1,6,1,2,2,2,2,0.26061853355806747
102198,2022-06-29T09:24:15Z,2022-06-29T09:52:24Z,1,1,2,1,2,1,2,4,4,4,NA,NA,NA,4,4,4,2,3,3,4,3,3,2,1,1,NA,NA,NA,NA,2,1,3,3,NA,3,2,3,1,4,NA,1,4,4,3,1,2,2,2,3,2,3,3,5,3,4,3,3,3,2,4,4,2,2,3,1,2,2,1,1,1,1,1,1,3,2,2,NA,2,4,3,NA,NA,NA,4,5,2,1,NA,3,2,2,3,1,5,2,2,NA,NA,NA,1,1,5,1,1,1,NA,1,1,1,3,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,NA,NA,NA,NA,NA,3,1,1,2,1,2,1,5,2,NA,1,1,1,1,1,6,1,1,1,2,1,NA,1,1,9,1,2,1,1,3,0.6876686552357746
104210,2022-06-28T17:24:24Z,2022-07-01T03:01:19Z,2,1,1,1,1,2,4,2,2,1,1,2,1,NA,NA,NA,3,4,2,3,1,2,2,4,4,4,4,4,4,NA,NA,NA,NA,1,NA,4,4,4,1,3,NA,2,2,1,3,5,3,5,3,4,3,3,2,3,3,2,1,1,1,1,4,2,4,2,1,1,4,1,1,1,4,2,1,1,2,3,1,NA,2,4,2,2,4,NA,NA,NA,2,1,NA,1,1,1,5,3,1,1,1,1,5,NA,NA,NA,1,4,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,3,1,3,1,3,2,4,NA,1,3,NA,3,5,3,3,1,1,2,2,2,3,2,2,NA,1,1,1,1,1,2,12,NA,3,6,4,2,2,4,1,1,5,2,2,1,1.2686716776947287
104368,2022-06-29T07:48:24Z,2022-06-29T09:01:06Z,1,1,1,1,2,1,2,3,4,4,4,4,4,NA,NA,NA,2,2,4,4,4,4,1,2,1,1,3,5,2,NA,NA,NA,NA,3,NA,3,3,3,3,2,NA,4,2,2,3,3,3,4,3,3,3,3,2,3,3,1,1,3,1,3,2,2,3,3,1,4,1,1,2,1,2,2,1,2,2,2,3,NA,3,3,3,3,2,NA,NA,NA,1,3,NA,2,1,1,1,5,3,5,2,1,4,NA,NA,NA,1,1,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,3,2,2,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,6,NA,NA,NA,NA,NA,1,1,3,7,4,1,3,2,2,NA,1,1,1,1,1,1,1,1,1,1,3,1,1,2,2,1,3,2,1,2,0.7990515002232229
104491,2022-06-30T10:05:03Z,2022-06-30T11:19:11Z,1,1,2,1,1,1,4,1,1,1,NA,NA,NA,1,1,1,1,4,1,1,1,1,1,4,4,NA,NA,NA,NA,4,4,4,4,NA,1,4,4,4,4,NA,4,1,1,1,1,5,5,5,5,5,1,1,1,1,1,2,2,3,1,1,1,1,1,3,2,2,2,1,3,1,3,2,1,1,2,2,NA,1,1,4,NA,NA,NA,1,4,4,2,NA,1,1,1,1,5,3,2,1,NA,NA,NA,5,2,1,1,4,2,NA,1,NA,NA,NA,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,6,NA,NA,NA,NA,NA,4,1,4,9,4,2,2,4,2,NA,4,99,99,1,4,5,9,NA,3,6,2,NA,2,4,3,1,5,2,2,2,1.0250969065284514
104689,2022-06-29T21:22:59Z,2022-06-29T21:37:12Z,2,1,2,1,1,1,3,2,2,2,NA,NA,NA,2,2,2,3,4,1,1,2,1,1,3,4,NA,NA,NA,NA,4,3,3,3,NA,1,4,4,4,1,NA,2,2,2,2,3,4,3,4,4,5,2,3,2,2,3,2,2,2,1,1,3,1,3,3,1,3,2,1,1,3,2,2,2,1,1,1,NA,1,1,4,NA,NA,NA,2,4,4,2,NA,3,1,1,1,3,5,3,5,NA,NA,NA,3,3,3,1,4,2,NA,1,NA,NA,NA,NA,NA,1,1,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,6,NA,NA,NA,NA,NA,1,2,2,3,4,2,3,2,2,NA,1,1,1,1,1,5,1,1,1,2,2,NA,2,3,3,1,3,2,1,2,0.25527678243157953
104727,2022-07-01T22:11:01Z,2022-07-01T23:31:05Z,1,1,2,1,2,1,2,4,4,4,NA,NA,NA,4,4,4,2,1,4,4,4,4,2,2,2,NA,NA,NA,NA,1,2,2,2,NA,4,2,2,1,2,NA,1,4,4,4,2,2,3,1,3,1,5,5,5,5,5,2,2,3,2,3,4,3,3,1,1,2,1,1,2,2,2,2,1,3,1,2,NA,1,4,1,NA,NA,NA,4,5,2,1,NA,3,1,1,5,99,99,99,5,NA,NA,NA,1,1,1,2,3,1,NA,2,1,1,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,3,NA,5,2,3,1,2,2,3,3,1,3,2,2,NA,1,1,1,1,1,1,2,2,2,5,1,NA,1,1,8,1,2,2,2,3,1.3525631888076235
